row_id,rate_per_10000_ed_visits
0,16.92034
1,7.6298738
2,4.9420943
3,20.427877
4,9.223012
5,5.8959193
6,18.481327
7,8.3092375
8,5.37461
9,16.868317
10,7.5607347
11,4.934106
12,14.961804
13,6.646032
14,4.4274545
15,17.178
16,7.6898894
17,4.965185
18,16.904127
19,7.573045
20,4.932926
21,25.501846
22,11.457558
23,7.089161
24,28.630829
25,12.697815
26,7.944968
27,14.986325
28,6.7072096
29,4.3227677
30,20.291142
31,9.139008
32,5.7823005
33,12.365669
34,5.448391
35,3.6382089
36,15.358896
37,6.8310113
38,4.493036
39,16.662481
40,7.519145
41,4.9377937
42,19.853865
43,8.911435
44,5.6327963
45,25.74415
46,11.621
47,7.298728
48,14.432646
49,6.4159265
50,4.324282
51,39.744698
52,17.308586
53,10.725679
54,18.893463
55,8.511008
56,5.419841
57,25.06306
58,11.267927
59,6.9475975
60,38.290356
61,16.566612
62,10.098767
63,32.875515
64,14.250999
65,8.915164
66,21.607452
67,9.685429
68,5.959887
69,13.771645
70,6.089063
71,4.0921917
72,26.349218
73,11.787268
74,7.293444
75,21.109076
76,9.526625
77,5.994912
78,15.299889
79,6.8365936
80,4.512279
81,21.901915
82,9.906027
83,6.24627
84,13.367787
85,5.894065
86,4.053257
87,14.575437
88,6.408412
89,4.2171283
90,30.412342
91,13.387993
92,8.3357725
93,14.991873
94,6.72442
95,4.3022566
96,35.56902
97,15.245588
98,9.263794
99,24.160877
100,10.853767
101,6.633816
102,16.909414
103,7.5015283
104,4.7333527
105,42.344337
106,18.65163
107,11.69414
108,18.542677
109,8.391099
110,5.472238
111,24.736935
112,11.098773
113,6.7850585
114,30.143301
115,13.131948
116,7.793025
117,20.5734
118,9.295329
119,5.9457393
120,23.024569
121,10.360011
122,6.5015707
123,14.50191
124,6.404297
125,4.216878
126,32.842392
127,14.509882
128,9.247892
129,14.599594
130,6.427064
131,3.9313827
132,15.012018
133,6.650693
134,4.392518
135,22.927149
136,10.331495
137,6.3541694
138,26.423298
139,11.851412
140,7.322957
141,15.624379
142,7.0756645
143,4.7530704
144,19.87214
145,8.918672
146,5.6204596
147,51.233284
148,25.374496
149,13.918089
150,14.947199
151,6.6281166
152,4.4630237
153,17.444256
154,7.8676286
155,4.8437805
156,21.299192
157,9.61623
158,5.8301764
159,19.805714
160,8.895299
161,5.3876724
162,17.875626
163,8.02316
164,4.9776454
165,15.17742
166,6.7627487
167,4.316297
168,17.62523
169,7.902467
170,4.8389506
171,17.125654
172,7.693466
173,4.782854
174,25.082556
175,11.331225
176,6.728902
177,30.648464
178,13.459826
179,8.045294
180,15.835913
181,7.1088333
182,4.2036943
183,20.538815
184,9.300031
185,5.6172657
186,12.236535
187,5.443839
188,3.573787
189,15.150836
190,6.7429786
191,4.303956
192,18.494448
193,8.349359
194,5.0450606
195,19.994816
196,8.988868
197,5.5161777
198,26.306976
199,11.871906
200,7.2334023
201,15.237721
202,6.8028703
203,4.4172583
204,43.089283
205,18.715908
206,10.654131
207,20.846237
208,9.40033
209,5.5565696
210,24.540024
211,11.096415
212,6.6597695
213,42.592407
214,18.362844
215,10.515516
216,34.003876
217,14.750778
218,8.875791
219,21.772375
220,9.7419615
221,5.602179
222,14.383072
223,6.4221406
224,4.2024155
225,26.59158
226,11.93183
227,7.136012
228,21.042978
229,9.52997
230,5.7993326
231,16.347095
232,7.3350334
233,4.564046
234,21.491434
235,9.778036
236,5.7920732
237,15.114988
